Main_Category,Cost_Rank_in_Category,Month,Month_Name,Avg_Production_Cost,Category_Annual_Avg_Production_Cost,Cost_Deviation_pct_vs_Annual_Avg,Revenue,Orders
Accessories,1,8,August,35.77163565556037,34.87320550235838,2.5762763710988,299247.28,4622
Accessories,2,11,November,35.370551236749115,34.87320550235838,1.4261543417828337,363805.65,5660
Accessories,3,5,May,35.35757612083434,34.87320550235838,1.3889477938677022,266939.23,4171
Clothing,1,3,March,98.40292020725389,97.25207483704224,1.1833633083304633,862653.48,4825
Clothing,2,8,August,98.19880750449755,97.25207483704224,0.9734832588833444,692331.41,3891
Clothing,3,6,June,98.12889885121882,97.25207483704224,0.901599287877203,637706.01,3569
Technical equipment,1,8,August,292.87926022628375,288.1909923130678,1.626791967225329,1222688.89,2298
Technical equipment,2,6,June,292.02901210653755,288.1909923130678,1.3317625796230421,1093545.67,2065
Technical equipment,3,9,September,289.90052101576185,288.1909923130678,0.5931929686535664,1203106.54,2284
